62,https://images-na.ssl-images-amazon.com/images/I/61Nc8D-uFlL._AC_US218_.jpg,"HP 17.3"" HD+ Notebook (2018 New) Intel Core i3-7100U Processor 2.4 GHz 8GB Memory 2TB Hard Drive Optical Drive HD Webcam Backlit Keyboard Windows 10 Home Pale Mint",,,,17.3 inches | Windows 10 | core Intel Core i3 | 8.0 GB | 2.0 TB,,,,,,,HP,500,Notebook,Notebooks,,,,,
63,https://images-na.ssl-images-amazon.com/images/I/41lwqokuEsL._AC_US218_.jpg,"2018 Dell Business Flagship Laptop Notebook 15.6"" HD LED-Backlit Display Intel i5-7200U Processor 8GB DDR4 RAM 256GB SSD DVD-RW HDMI Webcam Bluetooth Windows 10 Pro-Black",,,,15.6 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Dell,583,Notebook,Notebooks,,,,,
64,https://images-na.ssl-images-amazon.com/images/I/51vUEG4zxVL._AC_US218_.jpg,"SAMSUNG 15.0"" 16GB Memory 256 GB SSD Laptop Notebook 9 Intel Core i7 8th Gen 8550U 1.80 GHz NVIDIA GeForce MX150 Windows 10 Home 64-Bit Model NP900X5T-X01US",,,,15.0 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 256 GB,,,,,,,Samsung,1395,Notebook,Notebooks,,,,,
65,https://images-na.ssl-images-amazon.com/images/I/41RySb0d2lL._AC_US218_.jpg,"2018 HP ProBook 640 G1 14"" HD Anti-Glare Notebook Laptop Intel Core I5-4200M Up to 3.1GHz 8GB RAM 500GB HDD Windows 10 Professional (Certified Refurbished)",,,,14 inches | Windows 10 Professional | core Intel Core i5 | 6.0 GB | 500.0 GB,,,,,,,HP,249,Notebook,Notebooks,,,,,
66,https://images-na.ssl-images-amazon.com/images/I/41bbvZ26ukL._AC_US218_.jpg,"Dell Latitude E6430 14"" Notebook PC - Intel Core i5-3320 2.6GHz 8GB 320gb SATA Windows 10 Professional (Certified Refurbished)",,,,14 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Dell,217.95,Notebook,Notebooks,,,,,
67,https://images-na.ssl-images-amazon.com/images/I/41GyAzIqHkL._AC_US218_.jpg,ASUS L402WA-EB21 Thin and Light 14” HD Laptop| AMD E2-6110 Quad Core Processor AMD Radeon R2 Graphics 4GB DDR3 RAM 64GB eMMC Flash Storage Windows 10 S with 1yr Office 365 Subscription Included,,,,14 inches | Windows 10 S | 4 GB | 64 GB | eMMC Flash Storage,,,,,,,Asus,249.99,Notebook,Notebooks,,,,,
68,https://images-na.ssl-images-amazon.com/images/I/418mlfrJm7L._AC_US218_.jpg,"HP 17.3"" HD+ Notebook (2018 New) Intel Core i3-7100U Processor 2.4 GHz 8GB Memory 2TB Hard Drive Optical Drive HD Webcam Backlit Keyboard Windows 10 Home Marine Blue",,,,17.3 inches | Windows 10 | core Intel Core i3 | 8.0 GB | 2.0 TB,,,,,,,HP,525,Notebook,Notebooks,,,,,
69,https://images-na.ssl-images-amazon.com/images/I/41VFvjLBjlL._AC_US218_.jpg,"HP ProBook x360 11.6"" G1 EE Notebook LED HD Touchscreen Intel Celeron N3350 Dual-Core 1.1GHz 4GB DDR3 64GB SSD eMMC 802.11ac Bluetooth 4.2 Win10Pro - 64Bit",,,,11.6 inches | Windows 10 Pro - 64 Bit | 8032 | 4.0 GB | 64 GB,,,,,,,HP,280,Notebook,Notebooks,,,,,
70,https://images-na.ssl-images-amazon.com/images/I/51diLMGEVPL._AC_US218_.jpg,HP Notebook 15.6 Inch Touchscreen Premium Laptop PC (2017 Version) 7th Gen Intel Core i3-7100U 2.4GHz Processor 8GB DDR4 RAM 1TB HDD SuperMulti DVD Burner Bluetooth Windows 10,,,,15.6 inches | Windows 10 | core Intel Core i3 | 8 GB | 1000 GB,,,,,,,HP,497,Notebook,Notebooks,,,,,
71,https://images-na.ssl-images-amazon.com/images/I/41SchGPIMaL._AC_US218_.jpg,"Samsung Notebook 9 Pro NP940X5M-X01US 15"" Touch Screen Laptop 7th Gen Intel Core i7-7500U Up To 3.5GHz 16GB DDR4 256GB SSD Backlit Keyboard Windows 10 Titan Silver",,,,15 inches | Windows 10 | 16.0 GB | 256 GB | flash memory solid state,,,,,,,Samsung,1241,Notebook,Notebooks,,,,,
72,https://images-na.ssl-images-amazon.com/images/I/41QUPDEMNZL._AC_US218_.jpg,"CUK WS63 Thin and Light Mobile Workstation (Intel i7-8750H 32GB RAM 1TB NVMe SSD + 2TB HDD NVIDIA Quadro P4200 8GB 15.6"" Full HD Windows 10 Pro) VR Ready Notebook Computer",,,,15.6 inches | Windows 10 Professional | core Intel Core i7 | 32.0 GB | 3000.0 GB,,,,,,,Computer Upgrade King,3499.99,Notebook,Notebooks,,,,,
73,https://images-na.ssl-images-amazon.com/images/I/51DuQ8n86kL._AC_US218_.jpg,ASUS Chromebook Flip C101PA-DS04 10.1inch Rockchip RK3399 Quad-Core Processor 2.0GHz 4GB Memory 32GB Storage All Metal Body Lightweight USB Type-C Google Play Store 360 Degree  HD Touchscreen,,,,10.1 inches | Chrome OS | 8032 | 4.0 GB | 32 GB,,,,,,,Asus,329,Notebook,Notebooks,,,,,
74,https://images-na.ssl-images-amazon.com/images/I/411ln44EZAL._AC_US218_.jpg,ASUS TUF Gaming Laptop (FX504) 15.6” Full HD Intel Core i7-8750H (up to 3.9GHz) 120hz 3ms FHD Display GTX 1060 6GB 16GB DDR4 256GB PCIe SSD + 1TB HDD Gigabit WiFi FX504GM-ES74,,,,15.6 inches | Windows 10 Home | core Intel Core i7 | 16 GB | 1000 GB,,,,,,,Asus,1299.99,Notebook,Notebooks,,,,,
75,https://images-na.ssl-images-amazon.com/images/I/41QcydMrxUL._AC_US218_.jpg,Dell ChromeBook 11 -Intel Celeron 2955U 4GB Ram 16GB SSD WebCam HDMI (11.6 HD Screen 1366x768) (Certified Refurbished),,,,11.6 inches | Chrome OS | 4.0 GB | 16.0 GB | flash memory solid state,,,,,,,Dell,120,Notebook,Notebooks,,,,,
76,https://images-na.ssl-images-amazon.com/images/I/419HcQ1LDzL._AC_US218_.jpg,Lenovo Thinkpad T430 Built Business Laptop Computer (Intel Dual Core i5 Up to 3.3 Ghz Processor 8GB Memory 320GB HDD Webcam DVD Windows 10 Professional) (Certified Refurbished),,,,14 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 320.0 GB,,,,,,,Lenovo,274.5,Notebook,Notebooks,,,,,
77,https://images-na.ssl-images-amazon.com/images/I/513Hht46NxL._AC_US218_.jpg,2018 HP Business 15.6-inch HD Touchscreen Laptop PC Quad-Core AMD A12 Processor up to 3.6GHz 8GB DDR4 SDRAM 1TB HDD Webcam HDMI DVD±RW AMD Radeon R7 graphics DTS Studio Sound Windows 10,,,,15.6 inches | Windows 10 | amd a series | 8.0 GB | 1.0 TB,,,,,,,HP,465,Notebook,Notebooks,,,,,
78,https://images-na.ssl-images-amazon.com/images/I/412wbuWwTSL._AC_US218_.jpg,Apple MacBook Air MD711LL/A 11.6-Inch HD Laptop Computer Intel Core i5 Processor 1.3GHz 4GB RAM 128GB SSD 802.11ac WiFi USB 3.0 Bluetooth 4.0| MAC OS X (Certified Refurbished),,,,11.6 inches | Chrome OS | core Intel Core i5 | 4.0 GB | 128.0 GB,,,,,,,Apple,418.97,Notebook,Notebooks,,,,,
79,https://images-na.ssl-images-amazon.com/images/I/517V7Q0N2SL._AC_US218_.jpg,2018 Newest Acer 15.6” Full HD IPS Chromebook with 3x Faster WiFi  Intel Celeron Dual Core 3205U 4GB RAM 16GB SSD HDMI Webcam Bluetooth 9-Hours Battery Chrome OS,,,,15.6 inches | Chrome OS | intel core 2 duo | 4.0 GB | 16.0 GB,,,,,,,Acer,236,Notebook,Notebooks,,,,,
80,https://images-na.ssl-images-amazon.com/images/I/51vUEG4zxVL._AC_US218_.jpg,"SAMSUNG 15.0"" 16GB Memory 256 GB SSD Laptop Notebook 9 Intel Core i7 8th Gen 8550U 1.80 GHz NVIDIA GeForce MX150 Windows 10 Home 64-Bit Model NP900X5T-X01US",,,,15.0 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 256 GB,,,,,,,Samsung,1395,Notebook,Notebooks,,,,,
81,https://images-na.ssl-images-amazon.com/images/I/41bbvZ26ukL._AC_US218_.jpg,"Dell Latitude E6430 14"" Notebook PC - Intel Core i5-3320 2.6GHz 8GB 320gb SATA Windows 10 Professional (Certified Refurbished)",,,,14 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Dell,217.95,Notebook,Notebooks,,,,,
82,https://images-na.ssl-images-amazon.com/images/I/41kHwPsxPwL._AC_US218_.jpg,"Lenovo ThinkPad P51 Mobile Workstation 20HH000TUS - Intel Quad-Core i7-7700HQ 16GB DDR4 RAM 512GB PCIe NVMe SSD 15.6"" FHD IPS 1920x1080 Display NVIDIA Quadro M1200 4GB Windows 10 Pro.",,,,15.6 inches | Windows 10 Pro | core Intel Core i7 | 16 GB | 516,,,,,,,Lenovo,1379.99,Notebook,Notebooks,,,,,
83,https://images-na.ssl-images-amazon.com/images/I/51a9bL9ncTL._AC_US218_.jpg,"Lenovo N23 2-in-1 Convertible Laptop (2017 ) 11.6"" Touchscreen HD IPS Display Intel Celeron Dual Core Processor up to 2.5 GHz 4GB RAM 32GB SSD Webcam Bluetooth Windows 10 Professional",,,,11.6 inches | Windows 10 Professional | celeron | 4.0 GB | 32.0 GB,,,,,,,Lenovo,204.95,Notebook,Notebooks,,,,,
84,https://images-na.ssl-images-amazon.com/images/I/412aexadbEL._AC_US218_.jpg,HP Stream 14 Inch Laptop (2018 New) Intel Celeron N3060 Processor 4GB RAM 32GB eMMC Storage Office 365 Personal 1-year included Windows 10 Home Jet Black,,,,14 inches | Windows 10 | celeron | 4.0 GB | emmc,,,,,,,HP-Stream-14-4GB-32GB,199.98,Notebook,Notebooks,,,,,
85,https://images-na.ssl-images-amazon.com/images/I/41vj81gdHML._AC_US218_.jpg,"Dell i5770-7330SLV-PUS Inspiron 17"" LED Display - 8th Gen Intel Core i7 Processor - 16GB Memory - 256GB SSD+ 2TB HDD - AMD Radeon 530 Graphics Platinum Silver",,,,17.3 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 256 GB,,,,,,,Dell,1194.92,Notebook,Notebooks,,,,,
86,https://images-na.ssl-images-amazon.com/images/I/41UHWEsCl7L._AC_US218_.jpg,Dell Chromebook 11 3180 83C80 11.6-Inch Traditional Laptop (Black),,,,11.6 inches | Chrome | 8032 | 4 GB | Flash Memory Solid State,,,,,,,Dell,172,Notebook,Notebooks,,,,,
87,https://images-na.ssl-images-amazon.com/images/I/41YP969yP5L._AC_US218_.jpg,2018 Newest HP Touchscreen 15.6 inch HD Laptop Latest Intel Quad-Core i5-8250U Processor up to 3.40 GHz 8GB DDR4 1TB Hard Drive DVD-RW HDMI Webcam Bluetooth Windows 10 Home,,,,15.6 inches | Windows 10 | intel core 2 quad | 8.0 GB | 1.0 TB,,,,,,,HP,509,Notebook,Notebooks,,,,,
88,https://images-na.ssl-images-amazon.com/images/I/41A8kEFkxDL._AC_US218_.jpg,"Acer Predator 17 Gaming Laptop Core i7 GeForce GTX 1070 17.3"" Full HD G-SYNC 16GB DDR4 256GB SSD 1TB HDD G9-793-79V5",,,,17.3 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 1000 GB,,,,,,,Acer,1699.5,Notebook,Notebooks,,,,,
89,https://images-na.ssl-images-amazon.com/images/I/41SEo-FOByL._AC_US218_.jpg,"2018 Dell Inspiron High Performance Laptop AMD A6-9220e processor 2.5GHz 11.6"" HD Display 4GB DDR4 SDRAM 32GB eMMC Flash Memory Windows 10 (Gray) w/1-year Microsoft Office 365 Personal",,,,11.6 inches | Windows 10 | amd e series | 32.0 GB | SSD,,,,,,,Dell,168.95,Notebook,Notebooks,,,,,
90,https://images-na.ssl-images-amazon.com/images/I/51R-xeK9kQL._AC_US218_.jpg,2017 Newest Premium High Performance Samsung 11.6 HD Chromebook - Intel Dual-Core Celeron N3050 Up to 2.16GHz 2GB DDR3 16GB eMMC Hard Drive 802.11ac Bluetooth HDMI HD Webcam USB 3.0 Chrome OS,,,,11.6 inches | Chrome OS | celeron | 2.0 GB | 16.0 GB,,,,,,,Samsung Chromebook,168.89,Notebook,Notebooks,,,,,
91,https://images-na.ssl-images-amazon.com/images/I/51pZVO46J4L._AC_US218_.jpg,"LG gram Thin and Light Laptop - 15.6"" Full HD IPS Display Intel Core i5 (8th Gen) 8GB RAM 256GB SSD Back-lit Keyboard - Dark Silver – 15Z980-U.AAS5U1",,,,15.6 inches | Windows 10 | 8.0 GB | 256 GB | Sold State Drive,,,,,,,LG,1146.99,Notebook,Notebooks,,,,,
92,https://images-na.ssl-images-amazon.com/images/I/41E4G7pZ-LL._AC_US218_.jpg,"HP Stream 14"" Laptop Intel Celeron N3060 4GB RAM 32GB Solid State Drive with Windows 10 (14-ax010ca) - Aqua Blue (Certified Refurbished)",,,,14.0 inches | Windows 10 | celeron | 4.0 GB | 32.0 GB,,,,,,,HP,170,Notebook,Notebooks,,,,,
93,https://images-na.ssl-images-amazon.com/images/I/415HuZQvksL._AC_US218_.jpg,"Lenovo IdeaPad 330 15.6"" HD Business Laptop Intel Dual-Core i3-8130U Up to 3.4GHz (Beat i5-7200U) 8GB DDR4 1TB HDD 802.11ac Bluetooth HDMI Windows 10",,,,15.6 inches | Windows 10 | core Intel Core i3 | 8.0 GB | 1000.0 GB,,,,,,,Lenovo,389.97,Notebook,Notebooks,,,,,
94,https://images-na.ssl-images-amazon.com/images/I/51oGvT3hsOL._AC_US218_.jpg,"Dell XPS 9570 Gaming Laptop 15.6"" FHD 8th Gen Core i7-8750H CPU 8GB RAM 256GB SSD GeForce GTX 1050Ti Infinity Edge 400-Nits Display Silver Windows 10 Home - XPS9570-7023SLV-PUS",,,,15.6 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 256 GB,,,,,,,Dell,1499.11,Notebook,Notebooks,,,,,
95,https://images-na.ssl-images-amazon.com/images/I/51ZIYqt-j9L._AC_US218_.jpg,"LG Gram Thin and Light Laptop - 14"" Full HD IPS Touchscreen Display Intel Core i7 (8th Gen) 8GB RAM 512GB SSD Back-lit Keyboard - Dark Silver – 14Z980-A.AAS7U1",,,,14.0 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 512 GB,,,,,,,LG,1546.99,Notebook,Notebooks,,,,,
96,https://images-na.ssl-images-amazon.com/images/I/51oGvT3hsOL._AC_US218_.jpg,"Dell XPS 9570 Gaming Laptop 15.6"" FHD 8th Gen Core i7-8750H CPU 8GB RAM 256GB SSD GeForce GTX 1050Ti Infinity Edge 400-Nits Display Silver Windows 10 Home - XPS9570-7023SLV-PUS",,,,15.6 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 256 GB,,,,,,,Dell,1499.11,Notebook,Notebooks,,,,,
97,https://images-na.ssl-images-amazon.com/images/I/51ZIYqt-j9L._AC_US218_.jpg,"LG Gram Thin and Light Laptop - 14"" Full HD IPS Touchscreen Display Intel Core i7 (8th Gen) 8GB RAM 512GB SSD Back-lit Keyboard - Dark Silver – 14Z980-A.AAS7U1",,,,14.0 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 512 GB,,,,,,,LG,1546.99,Notebook,Notebooks,,,,,
98,https://images-na.ssl-images-amazon.com/images/I/51ZG8CbFAJL._AC_US218_.jpg,"Acer Swift 3 SF314-54-56L8 14"" Full HD 8th Gen Intel Core i5-8250U 8GB DDR4 256GB SSD Windows 10 Silver",,,,14.0 inches | Windows 10 | core Intel Core i5 | 8.0 GB | Flash Memory Solid State,,,,,,,Acer,636.94,Notebook,Notebooks,,,,,
99,https://images-na.ssl-images-amazon.com/images/I/51zD3mdxVDL._AC_US218_.jpg,2018 HP Premium High Performance 14 inch Chromebook Full HD 1080p IPS display Intel Celeron Quad-Core Processor 4GB RAM 16GB eMMC 802.11ac WiFi HDMI Webcam Bluetooth Chrome OS only 3.74Lb,,,,14 inches | Chrome OS | celeron | 4.0 GB | 16.0 GB,,,,,,,HP,220,Notebook,Notebooks,,,,,
100,https://images-na.ssl-images-amazon.com/images/I/51HpZr5oHWL._AC_US218_.jpg,"NUVISION 2 in 1 Tablet and Laptop with Windows 10 Home OS Black 11.6"" (Certified Refurbished)",,,,11.6 inches | Windows 10 | intel atom | 2.0 GB | 32.0 GB,,,,,,,NUVISION,119.95,Notebook,Notebooks,,,,,
101,https://images-na.ssl-images-amazon.com/images/I/41gW-btl1VL._AC_US218_.jpg,Mobile Advance 2018 HP Spectre x360 15-CH011DX 4K 2 in 1 Touch Screen Laptop - Intel Core i7-8550U GeForce MX150 512GB SSD 16GB RAM Windows 10 (Certified Refurbished),,,,15.6 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 512.0 GB,,,,,,,HP,1080,Notebook,Notebooks,,,,,
102,https://images-na.ssl-images-amazon.com/images/I/412eEl1Z2oL._AC_US218_.jpg,"2017 HP Stream 14"" Flagship Laptop Computer Intel Celeron N3060 up to 2.48GHz 4GB RAM 32GB SSD Wifi Bluetooth Webcam USB 3.0 Windows 10 Home Purple (Certified Refurbished)",,,,14.0 inches | Windows 10 | celeron | 4.0 GB | 32.0 GB,,,,,,,HP,174.69,Notebook,Notebooks,,,,,
103,https://images-na.ssl-images-amazon.com/images/I/41cDGmddOjL._AC_US218_.jpg,"Asus 2018 14"" HD Thin & Light Laptop Computer Intel Celeron N3060 up to 2.48GHz 4GB RAM 64GB eMMC 802.11ac WiFi Bluetooth 4.1 HDMI USB 3.0 Windows 10 Home",,,,15.6 inches | Windows 10 | core Intel Core i7 | 6.0 GB | 1.0 TB,,,,,,,Asus,289,Notebook,Notebooks,,,,,
104,https://images-na.ssl-images-amazon.com/images/I/41Dd-j4aeSL._AC_US218_.jpg,Dell Latitude 7480 14” Business Laptop - TFJ45 (14” FHD Display i7-7600U 2.80GHz 16GB DDR4 256GB SSD Windows 10 Pro 64),,,,14.0 inches | Windows 10 Professional | core Intel Core i7 | 16.0 GB | Flash Memory Solid State,,,,,,,Dell,1319,Notebook,Notebooks,,,,,
105,https://images-na.ssl-images-amazon.com/images/I/51Zbzk19EcL._AC_US218_.jpg,HP 17.3-inch HD (1600x900) WLED-backlit Display Laptop PC Intel Core i7-7500U 2.7GHz Processor 8GB DDR4 RAM 2TB HDD Intel HD Graphics 620 HDMI Bluetooth DVD +/- RW Windows 10,,,,17.3 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 2.0 TB,,,,,,,HP,669.99,Notebook,Notebooks,,,,,
106,https://images-na.ssl-images-amazon.com/images/I/41iwjtTG82L._AC_US218_.jpg,"ASUS Chromebook C223NA-DH02-GR 11.6"" HD display Intel Dual-Core Celeron N3350 Processor (up to 2.4GHz) 4GB RAM 32GB eMMC storage Grey",,,,11.6 inches | Chrome | celeron | 32 GB | eMMC Flash Storage,,,,,,,Asus,227.79,Notebook,Notebooks,,,,,
107,https://images-na.ssl-images-amazon.com/images/I/51yRHyTMZSL._AC_US218_.jpg,Lenovo V330 (81AX00GGUS i5-7200U (2.50 GHz) 8 GB RAM 256 GB SSD 15.6 Windows 10 Pro-64 bit,,,,15.6 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Lenovo,528.5,Notebook,Notebooks,,,,,
108,https://images-na.ssl-images-amazon.com/images/I/41atH0KUCVL._AC_US218_.jpg,"2018 Newest Lenovo Business Flagship Laptop 15.6"" Anti-Glare Touchscreen Intel 8th Gen i7-8550U Quad-Core Processor 12GB DDR4 RAM 1TB HDD DVD-RW Webcam HDMI DolAudio 802.11ac Windows 10",,,,15.6 inches | Windows 10 | core Intel Core i5 | 12.0 GB | 1.0 TB,,,,,,,Lenovo,660,Notebook,Notebooks,,,,,
109,https://images-na.ssl-images-amazon.com/images/I/41OMZLc1HvL._AC_US218_.jpg,HP Stream 11.6 inch Flagship Laptop Intel Celeron Core up to 2.48GHz 4GB RAM 32GB Solid State Drive WiFi Bluetooth Webcam USB 3.0 Windows 10 Home Blue (Certified Refurbished),,,,11.6 inches | Windows 10 | celeron | 4.0 GB | 32.0 GB,,,,,,,HP,144.99,Notebook,Notebooks,,,,,
110,https://images-na.ssl-images-amazon.com/images/I/411Pr5tINhL._AC_US218_.jpg,"HP ProBook 450 G5 15.6"" LCD Notebook - Intel Core i5 (8th Gen) i5-8250U Quad-core (4 Core) 1.60 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Pro (English) - 1920 x 1080 - in-Plane Switching (I",,,,15.6 inches | Windows 10 Pro | core Intel Core i7 | 8 GB | 1.0 TB,,,,,,,HP,819.99,Notebook,Notebooks,,,,,
111,https://images-na.ssl-images-amazon.com/images/I/51y7-biHMYL._AC_US218_.jpg,"2017 HP 17.3"" Business Flagship Laptop PC HD+ WLED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD Intel 520 Graphics DVD-RW 802.11AC Wifi Webcam HDMI Windows 10-Silver",,,,17.3 inches | Windows 10 | intel core solo | 8.0 GB | 1.0 TB,,,,,,,HP,524.94,Notebook,Notebooks,,,,,
112,https://images-na.ssl-images-amazon.com/images/I/41CHbnOegoL._AC_US218_.jpg,"2018 Dell Inspiron 13 5000 5379 2-IN-1 Laptop - 13.3"" TouchScreen FHD (1920x1080) 8th Gen Intel Core i7-8550U 256GB SSD 8GB DDR4 Backlit IR Webcam Windows 10 (Certified Refurbished)",,,,13.3 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 256.0 GB,,,,,,,Dell,623,Notebook,Notebooks,,,,,
113,https://images-na.ssl-images-amazon.com/images/I/51Gl6HPciwL._AC_US218_.jpg,"Acer R11 11.6"" Convertible HD IPS Touchscreen Chromebook Intel Celeron Dual Core up to 2.48GHz 4GB RAM 16GB SSD 802.11ac Bluetooth HDMI USB 3.0 Webcam Chrome OS (Certified Refurbished)",,,,11.6 inches | Chrome OS | intel celeron d | 4.0 GB | 16.0 GB,,,,,,,Acer,228,Notebook,Notebooks,,,,,
114,https://images-na.ssl-images-amazon.com/images/I/31e6Fdte-gL._AC_US218_.jpg,"Lenovo Thinkpad X1 Yoga 3rd Gen 20LD001FUS 14"" HDR WQHD (2560x1440) Touchscreen 2-in-1 Ultrabook - Intel Core i7-8650U Processor 16GB RAM 512GB PCIe SSD Windows 10 Pro",,,,14 inches | 8032 | flash memory solid state |  | ,,,,,,,Lenovo,1909.99,Notebook,Notebooks,,,,,
115,https://images-na.ssl-images-amazon.com/images/I/51gzhiM6p5L._AC_US218_.jpg,"2018 RCA Galileo Pro High Performance 2-in-1 11.5"" Touchscreen Tablet PC Intel Quad-Core Processor 32GB SSD 1GB RAM Webcam WIFI Bluetooth Detachable Keyboard Android 6.0 Black",,,,11.5 inches | Android 6.0 Marshmallow |  |  | 32.0 GB || ,,,,,,,RCA,128.99,Notebook,Notebooks,,,,,
116,https://images-na.ssl-images-amazon.com/images/I/31loNPhBxIL._AC_US218_.jpg,Dell Inspiron 5000 Flagship 15.6 inch FHD Gaming Laptop Intel Core i7-7700HQ Quad-Core 16GB RAM 128GB SSD + 1TB HDD Waves MaxxAudio Backlit Keyboard Webcam Windows 10,,,,15.6 inches | Windows 10 |  | core Intel Core i7 | 16.0 GB || 128 GB,,,,,,,Dell,888.99,Notebook,Notebooks,,,,,
117,https://images-na.ssl-images-amazon.com/images/I/413IL7B3FnL._AC_US218_.jpg,"MSI GL62M 7REX-1896US 15.6"" Full HD Gaming Laptop Computer Quad Core i7-7700HQ GeForce GTX 1050Ti 4G Graphics 8GB DRAM 128GB SSD + 1TB Hard Drive Steelseries Red Backlit Keyboard",,,,15.6 inches | Windows 10 Home | core Intel Core i7 | 8 GB | 1000 GB,,,,,,,MSI,1099,Notebook,Notebooks,,,,,
118,https://images-na.ssl-images-amazon.com/images/I/41Ke-Xwc-AL._AC_US218_.jpg,"HP 15.6"" OMEN 15-dc0000 15-dc0020nr LCD Gaming Notebook Intel Core i7-8750H (8th Gen) Hexa-core (6 Core) 2.2GHz 12GB 1TB HDD Model 3WL02UA#ABA",,,,15.6 inches | Windows 10 | 8032 | 12.0 GB | 1000 GB,,,,,,,HP,1048.99,Notebook,Notebooks,,,,,
119,https://images-na.ssl-images-amazon.com/images/I/510J4sxI9QL._AC_US218_.jpg,LG gram Thin and Light Laptop 14” Full HD Display Intel Core i5 8GB RAM & 256GB SSD Back-lit Keyboard (White) - 14Z980-U.AAW5U1,,,,14.0 inches | Windows 10 | 8.0 GB | Flash Memory Solid State | 4,,,,,,,LG,1046.99,Notebook,Notebooks,,,,,
120,https://images-na.ssl-images-amazon.com/images/I/51GRYYwhL1L._AC_US218_.jpg,"ASUS UX550GE-XB71T Zenbook Pro 15.6"" UHD 4K Touch Laptop Intel Core i7-8750HK 16GB RAM 512GB SSD Win10 Pro GTX1050Ti",,,,15.6 inches | Windows 10 Professional | core Intel Core i7 | 16.0 GB | 512 GB,,,,,,,Asus,1799,Notebook,Notebooks,,,,,
121,https://images-na.ssl-images-amazon.com/images/I/41QmfRZ-vdL._AC_US218_.jpg,"Lenovo ThinkPad Edge E580 15.6"" FHD Screen (1920x1080) Intel Quad Core i7-8550U 16GB RAM 500GB Solid State Drive Fingerprint W10P < Additional Memory and Storage Options Below >",,,,15.6 inches | Windows 10 Pro 64 | core Intel Core i7 | 16.0 GB | 500.0 GB,,,,,,,Oemgenuine,1119.95,Notebook,Notebooks,,,,,
122,https://images-na.ssl-images-amazon.com/images/I/41RRnCU7+7L._AC_US218_.jpg,ASUS ZenBook S UX391UA-XB74T Ultra-thin and light 13.3-inch UHD 4K Touch Laptop Intel Core i7-8550U 16GB 2133MHz RAM 512GB PCIE G3X4 SSD Windows 10 Pro FP Sensor Thunderbolt,,,,13.3 inches | Windows 10 Professional | core Intel Core i7 | 16.0 GB | 512 GB,,,,,,,Asus,1428,Notebook,Notebooks,,,,,
123,https://images-na.ssl-images-amazon.com/images/I/51cA1-uX7fL._AC_US218_.jpg,Dell Inspiron 5000 Series 15.6 Inch HD Pro Build Business Laptop (Intel i7-7500U 2.7Ghz 16GB DDR4 RAM 512GB SSD Windows 10 Professional ),,,,15.6 inches | Windows 10 Professional | Core Intel Core i7 2.7 GHz | 16.0 GB | 512.0 GB,,,,,,,Dell,807,Notebook,Notebooks,,,,,
124,https://images-na.ssl-images-amazon.com/images/I/5104FMZavwL._AC_US218_.jpg,"2018 Newest LENOVO IdeaPad 2-in-1 High Performance 14"" HD LED Backlight Touchscreen Laptop Computer Intel Pentium 4415U 4GB DDR4 500GB HDD USB 3.0 HDMI Bluetooth Webcam Windows 10",,,,14 inches | Windows 10 | Intel Mobile CPU | 4.0 GB | 500.0 GB,,,,,,,Lenovo,389.89,Notebook,Notebooks,,,,,
125,https://images-na.ssl-images-amazon.com/images/I/417aI0zu4vL._AC_US218_.jpg,HP Pavilion 15.6-inch FHD 1080P Laptop PC Intel Core i7 Processor 12GB Memory 1TB Hard Drive Backlit Keyboard Webcam Bluetooth USB 3.1 Windows 10,,,,15.6 inches | Windows 10 | core Intel Core i7 | 12 GB | 1.0 TB,,,,,,,HP,652.99,Notebook,Notebooks,,,,,
126,https://images-na.ssl-images-amazon.com/images/I/41WaGJd3rfL._AC_US218_.jpg,"Microsoft Surface Book - 256GB/Intel Core i7/8GB Memory 2-in-1 13.5"" Touch-Screen Laptop",,,,13.5 inches | Windows 10 Pro | core Intel Core i7 | 8 GB | 256.0 GB,,,,,,,Microsoft,1148.99,Notebook,Notebooks,,,,,
